Type,Category,Locale,Series,Set,Id,Name,VariantCount,Variants,Rarities,Quantities,Prices,TotalQuantity
standard,Yaku marii wishlist,International,e-Card,Aquapolis,ecard2-17,Jumpluff,2,Normal | Reverse Holo,Rare | Rare,1 | 0,US$25.85 | US$30.00,1
standard,Yaku marii wishlist,International,e-Card,Aquapolis,ecard2-21,Lanturn,2,Normal | Reverse Holo,Rare | Rare,0 | 0,US$31.20 | US$39.99,0
standard,Yaku marii wishlist,International,e-Card,Aquapolis,ecard2-60,Skiploom,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$18.50 | US$95.00,1
standard,Yaku marii wishlist,International,e-Card,Aquapolis,ecard2-70,Chinchou,2,Normal | Reverse Holo,Common | Common,1 | 0,US$12.81 | US$29.59,1
standard,Yaku marii wishlist,International,e-Card,Aquapolis,ecard2-83,Hoppip,2,Normal | Reverse Holo,Common | Common,1 | 0,US$9.83 | US$36.03,1
standard,Yaku marii wishlist,International,e-Card,Aquapolis,ecard2-90,Lickitung,2,Normal | Reverse Holo,Common | Common,1 | 0,US$23.08 | US$74.98,1
standard,Yaku marii wishlist,International,e-Card,Skyridge,ecard3-27,Raichu,2,Normal | Reverse Holo,Rare | Rare,1 | 0,US$98.17 | US$149.99,1
standard,Yaku marii wishlist,International,e-Card,Skyridge,ecard3-53,Dunsparce,2,Normal | Reverse Holo,Common | Common,1 | 0,US$48.84 | US$104.99,1
standard,Yaku marii wishlist,International,e-Card,Skyridge,ecard3-84,Pikachu,2,Normal | Reverse Holo,Common | Common,0 | 0,US$122.33 | US$350.00,0
standard,Yaku marii wishlist,International,e-Card,Skyridge,ecard3-107,Swinub,2,Normal | Reverse Holo,Common | Common,1 | 0,US$82.74 | US$189.99,1
standard,Yaku marii wishlist,International,e-Card,Skyridge,ecard3-H22,Piloswine,1,Holo,Holo Rare,0,—,0
standard,Yaku marii wishlist,International,EX,EX Dragon,ex3-57,Grimer,4,Normal | Reverse Holo | Normal (No e-Reader Logo) | Reverse Holo (No e-Reader Logo),Common | Common | Common | Common,1 | 0 | 0 | 0,US$2.40 | US$39.05 | — | —,1
standard,Yaku marii wishlist,International,EX,EX Dragon,ex3-69,Numel,4,Normal | Reverse Holo | Normal (No e-Reader Logo) | Reverse Holo (No e-Reader Logo),Common | Common | Common | Common,1 | 1 | 0 | 0,US$1.26 | US$11.78 | — | —,2
standard,Yaku marii wishlist,International,EX,EX Dragon,ex3-78,Trapinch,4,Normal | Reverse Holo | Normal (No e-Reader Logo) | Reverse Holo (No e-Reader Logo),Common | Common | Common | Common,1 | 0 | 0 | 0,US$2.51 | US$29.09 | — | —,1
standard,Yaku marii wishlist,Japanese,Pokémon Card Game (PCG),PCG-P Promos,jpn_pcgp-37,Treecko,1,Pokémon Center,Promo,0,—,0
standard,Yaku marii wishlist,International,EX,EX Hidden Legends,ex5-16,Bellossom,3,Normal | Reverse Holo | World Championships Deck 2004: Blaziken Tech by Chris Fulop,Rare | Rare | Rare,1 | 0 | 0,US$6.12 | US$44.46 | US$11.58,1
standard,Yaku marii wishlist,International,EX,EX Hidden Legends,ex5-35,Gloom,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$9.75 | US$27.67,1
standard,Yaku marii wishlist,International,EX,EX Hidden Legends,ex5-50,Swalot,3,Normal | Reverse Holo | PRERELEASE Stamp,Uncommon | Uncommon | Uncommon,0 | 0 | 0,US$8.11 | US$15.50 | —,0
standard,Yaku marii wishlist,International,EX,EX Hidden Legends,ex5-62,Gulpin,2,Normal | Reverse Holo,Common | Common,1 | 0,US$3.20 | US$30.19,1
standard,Yaku marii wishlist,International,EX,EX Hidden Legends,ex5-68,Oddish,3,Normal | Reverse Holo | World Championships Deck 2004: Blaziken Tech by Chris Fulop,Common | Common | Common,1 | 0 | 0,US$5.35 | US$35.32 | US$28.00,1
standard,Yaku marii wishlist,International,EX,EX FireRed & LeafGreen,ex6-14,Slowbro,2,Holo | Reverse Holo,Holo Rare | Holo Rare,0 | 0,US$50.00 | US$73.20,0
standard,Yaku marii wishlist,International,EX,EX FireRed & LeafGreen,ex6-30,Tangela,2,Normal | Reverse Holo,Rare | Rare,0 | 0,US$14.24 | US$36.95,0
standard,Yaku marii wishlist,International,EX,EX FireRed & LeafGreen,ex6-43,Parasect,2,Normal | Reverse Holo,Uncommon | Uncommon,0 | 0,US$11.22 | US$16.88,0
standard,Yaku marii wishlist,International,EX,EX FireRed & LeafGreen,ex6-72,Paras,2,Normal | Reverse Holo,Common | Common,1 | 0,US$1.57 | US$16.78,1
standard,Yaku marii wishlist,International,EX,EX FireRed & LeafGreen,ex6-80,Slowpoke,2,Normal | Reverse Holo,Common | Common,1 | 0,US$17.92 | US$110.32,1
standard,Yaku marii wishlist,International,EX,EX Team Rocket Returns,ex7-21,Delibird,2,Normal | Expansion Stamp,Rare | Rare,1 | 0,US$18.04 | —,1
standard,Yaku marii wishlist,International,EX,EX Team Rocket Returns,ex7-22,Furret,2,Normal | Expansion Stamp,Rare | Rare,1 | 0,US$23.40 | —,1
standard,Yaku marii wishlist,International,EX,EX Team Rocket Returns,ex7-75,Sentret,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$3.04 | —,1
standard,Yaku marii wishlist,International,EX,EX Team Rocket Returns,ex7-78,Spinarak,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$3.10 | —,1
standard,Yaku marii wishlist,International,EX,EX Deoxys,ex8-29,Xatu,2,Normal | Expansion Stamp,Rare | Rare,1 | 0,US$6.82 | —,1
standard,Yaku marii wishlist,International,EX,EX Deoxys,ex8-30,Donphan,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$6.80 | —,1
standard,Yaku marii wishlist,International,EX,EX Deoxys,ex8-66,Natu,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$2.98 | —,1
standard,Yaku marii wishlist,International,EX,EX Deoxys,ex8-69,Phanpy,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$7.86 | —,1
standard,Yaku marii wishlist,International,EX,EX Emerald,ex9-24,Claydol,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$14.39 | —,1
standard,Yaku marii wishlist,International,EX,EX Emerald,ex9-34,Linoone,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$92.00 | —,1
standard,Yaku marii wishlist,International,EX,EX Emerald,ex9-43,Baltoy,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$3.59 | —,1
standard,Yaku marii wishlist,International,EX,EX Emerald,ex9-74,Zigzagoon,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$7.24 | —,1
standard,Yaku marii wishlist,International,POP Series,POP Series 2,pop2-16,Pikachu,1,Normal,Common,0,US$48.37,0
standard,Yaku marii wishlist,International,EX,EX Unseen Forces,ex10-21,Cleffa,2,Normal | Expansion Stamp,Rare | Rare,1 | 0,US$26.28 | —,1
standard,Yaku marii wishlist,International,EX,EX Unseen Forces,ex10-23,Elekid,2,Normal | Expansion Stamp,Rare | Rare,0 | 0,US$21.24 | —,0
standard,Yaku marii wishlist,International,EX,EX Unseen Forces,ex10-31,Smoochum,2,Normal | Expansion Stamp,Rare | Rare,0 | 0,US$16.80 | —,0
standard,Yaku marii wishlist,International,EX,EX Unseen Forces,ex10-33,Tyrogue,2,Normal | Expansion Stamp,Rare | Rare,0 | 0,US$15.65 | —,0
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-35,Ditto,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$67.81 | —,1
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-36,Ditto,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$129.00 | —,1
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-37,Ditto,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$65.55 | —,1
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-38,Ditto,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$48.58 | —,1
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-39,Ditto,2,Normal | Expansion Stamp,Uncommon | Uncommon,0 | 0,US$84.66 | —,0
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-40,Ditto,2,Normal | Expansion Stamp,Uncommon | Uncommon,0 | 0,US$66.52 | —,0
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-61,Ditto,3,Normal | Expansion Stamp | Origins,Common | Common | Common,1 | 0 | 0,US$49.61 | — | —,1
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-62,Ditto,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$27.87 | —,1
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-63,Ditto,3,Normal | Expansion Stamp | Comic-Con,Common | Common | Common,1 | 0 | 0,US$74.39 | — | —,1
standard,Yaku marii wishlist,International,EX,EX Delta Species,ex11-64,Ditto,3,Normal | Expansion Stamp | Games Expo,Common | Common | Common,1 | 0 | 0,US$63.30 | US$550.00 | —,1
standard,Yaku marii wishlist,International,EX,EX Legend Maker,ex12-58,Magby,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$3.67 | —,1
standard,Yaku marii wishlist,International,EX,EX Legend Maker,ex12-61,Seedot,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$1.71 | —,1
standard,Yaku marii wishlist,International,EX,EX Legend Maker,ex12-71,Wynaut,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$5.28 | —,1
standard,Yaku marii wishlist,International,POP Series,POP Series 3,pop3-12,Ditto,1,Normal,Common,0,US$55.36,0
standard,Yaku marii wishlist,International,EX,EX Dragon Frontiers,ex15-27,Croconaw δ,2,Normal | Expansion Stamp,Uncommon | Uncommon,1 | 0,US$9.28 | —,1
standard,Yaku marii wishlist,International,EX,EX Dragon Frontiers,ex15-30,Flaaffy δ,2,Normal | Expansion Stamp,Uncommon | Uncommon,0 | 0,US$9.45 | —,0
standard,Yaku marii wishlist,International,EX,EX Dragon Frontiers,ex15-44,Chikorita δ,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$7.81 | —,1
standard,Yaku marii wishlist,International,EX,EX Dragon Frontiers,ex15-47,Ekans δ,2,Normal | Expansion Stamp,Common | Common,1 | 0,US$1.63 | —,1
standard,Yaku marii wishlist,Japanese,Diamond & Pearl,Diamond & Pearl Promos,jpn_dpp-98,Pikachu,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,Japanese,Diamond & Pearl,Diamond & Pearl Promos,jpn_dpp-99,Pikachu,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,Japanese,Diamond & Pearl,Diamond & Pearl Promos,jpn_dpp-100,Pikachu,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,Japanese,Diamond & Pearl,Diamond & Pearl Promos,jpn_dpp-101,Pikachu,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,Japanese,Diamond & Pearl,Diamond & Pearl Promos,jpn_dpp-102,Pikachu,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,Japanese,Diamond & Pearl,Diamond & Pearl Promos,jpn_dpp-124,Charmander,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,Japanese,Diamond & Pearl,Rampardos the Attacker,jpn_rta-1,Pichu,2,Normal | 1st Edition,No Rarity | No Rarity,0 | 0,— | —,0
standard,Yaku marii wishlist,International,Diamond & Pearl,Mysterious Treasures,dp2-52,Happiny,4,Normal | Reverse Holo | Countdown Calendar | Burger King Collection 2008,Uncommon | Uncommon | Uncommon | Uncommon,0 | 0 | 0 | 1,US$7.99 | US$24.97 | US$199.99 | US$29.24,1
standard,Yaku marii wishlist,International,Diamond & Pearl,Mysterious Treasures,dp2-71,Aron,2,Normal | Reverse Holo,Common | Common,1 | 0,US$7.82 | US$5.52,1
standard,Yaku marii wishlist,International,Diamond & Pearl,Mysterious Treasures,dp2-93,Pichu,2,Normal | Reverse Holo,Common | Common,1 | 0,US$17.12 | US$41.77,1
standard,Yaku marii wishlist,International,Diamond & Pearl,Mysterious Treasures,dp2-99,Slakoth,2,Normal | Reverse Holo,Common | Common,0 | 1,US$6.79 | US$8.39,1
standard,Yaku marii wishlist,International,Diamond & Pearl,Mysterious Treasures,dp2-105,Teddiursa,2,Normal | Reverse Holo,Common | Common,1 | 0,US$7.46 | US$40.66,1
standard,Yaku marii wishlist,International,POP Series,POP Series 8,pop8-14,Happiny,2,Normal | Cosmos Holo,Common | Common,0 | 1,US$13.39 | —,1
standard,Yaku marii wishlist,Japanese,"Diamond, Pearl and Platinum (DPt)",DPt-P Promos,jpn_plp-9,Squirtle,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,Japanese,"Diamond, Pearl and Platinum (DPt)",DPt-P Promos,jpn_plp-30,Bulbasaur,1,10th Anniversary,Promo,0,—,0
standard,Yaku marii wishlist,International,Diamond & Pearl,Stormfront,dp7-33,Budew,2,Normal | Reverse Holo,Uncommon | Uncommon,0 | 0,US$9.06 | US$24.09,0
standard,Yaku marii wishlist,International,Diamond & Pearl,Stormfront,dp7-54,Bidoof,2,Normal | Reverse Holo,Common | Common,0 | 0,US$9.70 | US$26.24,0
standard,Yaku marii wishlist,International,Diamond & Pearl,Stormfront,dp7-63,Larvitar,2,Normal | Reverse Holo,Common | Common,1 | 0,US$6.19 | US$37.15,1
standard,Yaku marii wishlist,International,Platinum,Platinum,pl1-80,Lickitung,2,Normal | Reverse Holo,Common | Common,1 | 0,US$9.14 | US$15.57,1
standard,Yaku marii wishlist,International,Platinum,Platinum,pl1-82,Mareep,2,Normal | Reverse Holo,Common | Common,0 | 0,US$10.69 | US$20.76,0
standard,Yaku marii wishlist,International,Platinum,Platinum,pl1-103,Wurmple,2,Normal | Reverse Holo,Common | Common,1 | 0,US$2.10 | US$9.47,1
standard,Yaku marii wishlist,International,Platinum,Supreme Victors,pl3-71,Minun,2,Normal | Reverse Holo,Uncommon | Uncommon,0 | 0,US$15.81 | US$49.99,0
standard,Yaku marii wishlist,International,Platinum,Supreme Victors,pl3-76,Plusle,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$19.24 | US$37.66,1
standard,Yaku marii wishlist,International,Platinum,Supreme Victors,pl3-127,Shroomish,2,Normal | Reverse Holo,Common | Common,0 | 0,US$5.66 | US$4.02,0
standard,Yaku marii wishlist,International,Platinum,Supreme Victors,pl3-132,Whismur,2,Normal | Reverse Holo,Common | Common,1 | 0,US$2.79 | US$10.63,1
standard,Yaku marii wishlist,International,Platinum,Arceus,pl4-60,Cherubi,2,Normal | Reverse Holo,Common | Common,1 | 0,US$1.91 | US$13.90,1
standard,Yaku marii wishlist,International,Platinum,Arceus,pl4-75,Snorunt,2,Normal | Reverse Holo,Common | Common,1 | 0,US$3.12 | US$16.13,1
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,HeartGold & SoulSilver,hgss1-13,Wobbuffet,2,Holo | Reverse Holo,Holo Rare | Holo Rare,0 | 0,US$22.31 | US$21.00,0
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,HeartGold & SoulSilver,hgss1-25,Ledian,2,Normal | Reverse Holo,Rare | Rare,1 | 0,US$9.55 | US$16.64,1
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,HeartGold & SoulSilver,hgss1-31,Sunflora,2,Normal | Reverse Holo,Rare | Rare,0 | 0,US$13.09 | US$22.75,0
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,HeartGold & SoulSilver,hgss1-71,Ledyba,2,Normal | Reverse Holo,Common | Common,1 | 0,US$2.96 | US$9.99,1
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,HeartGold & SoulSilver,hgss1-85,Sunkern,2,Normal | Reverse Holo,Common | Common,0 | 0,US$2.44 | US$21.63,0
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,Undaunted,hgss3-6,Magcargo,2,Holo | Reverse Holo,Holo Rare | Holo Rare,0 | 0,US$26.98 | US$30.75,0
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,Undaunted,hgss3-67,Slugma,2,Normal | Reverse Holo,Common | Common,0 | 0,US$3.05 | US$18.41,0
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,Triumphant,hgss4-15,Bronzong,2,Normal | Reverse Holo,Rare | Rare,0 | 0,US$14.15 | US$27.06,0
standard,Yaku marii wishlist,International,HeartGold & SoulSilver,Triumphant,hgss4-58,Bronzor,2,Normal | Reverse Holo,Common | Common,1 | 0,US$1.95 | US$5.76,1
standard,Yaku marii wishlist,International,Black & White,Legendary Treasures,bw11-9,Sewaddle,2,Normal | Reverse Holo,Common | Common,0 | 0,US$0.87 | US$12.82,0
standard,Yaku marii wishlist,International,Black & White,Legendary Treasures,bw11-83,Stunfisk,2,Normal | Reverse Holo,Uncommon | Uncommon,0 | 0,US$4.29 | US$7.50,0
standard,Yaku marii wishlist,International,XY,Primal Clash,xy5-87,Hippopotas,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.54 | US$5.10,1
standard,Yaku marii wishlist,International,XY,Roaring Skies,xy6-68,Dunsparce,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.44 | US$0.81,1
standard,Yaku marii wishlist,International,XY,Ancient Origins,xy7-47,Beldum,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.37 | US$1.12,1
standard,Yaku marii wishlist,International,XY,BREAKthrough,xy8-4,Cacnea,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.65 | US$1.64,1
standard,Yaku marii wishlist,International,XY,BREAKthrough,xy8-98,Snubbull,2,Normal | Reverse Holo,Common | Common,1 | 0,US$1.17 | US$3.04,1
standard,Yaku marii wishlist,International,McDonald's Collections,McDonald's Collection 2015,mcd15-12,Skitty,1,Holo,No Rarity,1,US$8.65,1
standard,Yaku marii wishlist,International,XY,BREAKpoint,xy9-72,Nuzleaf,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$0.52 | US$1.41,1
standard,Yaku marii wishlist,International,XY,Generations,g1-RC19,Swirlix,1,Holo,Uncommon,0,US$17.17,0
standard,Yaku marii wishlist,International,XY,Fates Collide,xy10-49,Carbink,2,Normal | Reverse Holo,Rare | Rare,0 | 0,US$0.53 | US$1.86,0
standard,Yaku marii wishlist,International,XY,Steam Siege,xy11-12,Foongus,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.38 | US$0.73,1
standard,Yaku marii wishlist,International,Sun & Moon,Sun & Moon,sm1-2,Metapod,2,Normal | Reverse Holo,Uncommon | Uncommon,0 | 1,US$0.37 | US$0.83,1
standard,Yaku marii wishlist,International,Sun & Moon,Guardians Rising,sm2-50,Trubbish,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.75 | US$4.64,1
standard,Yaku marii wishlist,International,Sun & Moon,Guardians Rising,sm2-52,Gothita,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.43 | US$0.90,1
standard,Yaku marii wishlist,International,Sun & Moon,Crimson Invasion,sm4-16,Starmie,2,Normal | Reverse Holo,Rare | Rare,1 | 0,US$0.82 | US$2.56,1
standard,Yaku marii wishlist,International,Sun & Moon,Crimson Invasion,sm4-51,Primeape,2,Normal | Reverse Holo,Rare | Rare,1 | 0,US$0.93 | US$1.69,1
standard,Yaku marii wishlist,International,Sun & Moon,Forbidden Light,sm6-1,Exeggcute,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.55 | US$1.85,1
standard,Yaku marii wishlist,International,Sun & Moon,Forbidden Light,sm6-18,Litleo,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.53 | US$2.93,1
standard,Yaku marii wishlist,International,Sun & Moon,Forbidden Light,sm6-66,Binacle,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.38 | US$0.85,1
standard,Yaku marii wishlist,International,Sun & Moon,Celestial Storm,sm7-57,Gulpin,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.65 | US$3.35,1
standard,Yaku marii wishlist,International,Sun & Moon,Celestial Storm,sm7-58,Swalot,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$1.52 | US$3.38,1
standard,Yaku marii wishlist,International,Sun & Moon,Dragon Majesty,sm75-43,Shelgon,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$1.80 | US$3.85,1
standard,Yaku marii wishlist,International,Sun & Moon,Lost Thunder,sm8-80,Pachirisu,2,Normal | Reverse Holo,Common | Common,1 | 1,US$1.50 | US$6.50,2
standard,Yaku marii wishlist,International,Sun & Moon,Lost Thunder,sm8-116,Pupitar,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$1.76 | US$7.85,1
standard,Yaku marii wishlist,International,Sun & Moon,Lost Thunder,sm8-123,Alolan Dugtrio,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$6.41 | US$13.53,1
standard,Yaku marii wishlist,International,Sun & Moon,Lost Thunder,sm8-139,Ralts,2,Normal | Reverse Holo,Common | Common,1 | 1,US$3.16 | US$11.63,2
standard,Yaku marii wishlist,International,Sun & Moon,Team Up,sm9-4,Kakuna,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$0.58 | US$2.37,1
standard,Yaku marii wishlist,International,Sun & Moon,Team Up,sm9-35,Alolan Geodude,2,Normal | Reverse Holo,Common | Common,0 | 0,US$0.77 | US$3.68,0
standard,Yaku marii wishlist,International,Sun & Moon,Team Up,sm9-47,Joltik,2,Normal | Reverse Holo,Common | Common,0 | 0,US$0.76 | US$3.15,0
standard,Yaku marii wishlist,International,Sun & Moon,Team Up,sm9-81,Pancham,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.54 | US$4.63,1
standard,Yaku marii wishlist,International,Sun & Moon,Unbroken Bonds,sm10-10,Venonat,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.74 | US$1.85,1
standard,Yaku marii wishlist,International,Sun & Moon,Unbroken Bonds,sm10-18,Grubbin,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.50 | US$0.83,1
standard,Yaku marii wishlist,International,Sun & Moon,Unbroken Bonds,sm10-23,Darumaka,2,Normal | Reverse Holo,Common | Common,0 | 1,US$0.32 | US$0.75,1
standard,Yaku marii wishlist,International,Sun & Moon,Unbroken Bonds,sm10-113,Sandile,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.43 | US$0.90,1
standard,Yaku marii wishlist,International,Sun & Moon,Unified Minds,sm11-15,Fomantis,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.54 | US$1.61,1
standard,Yaku marii wishlist,International,Sun & Moon,Unified Minds,sm11-111,Relicanth,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 0,US$0.62 | US$5.70,1
standard,Yaku marii wishlist,International,Sun & Moon,Cosmic Eclipse,sm12-17,Rowlet,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.50 | US$6.79,1
standard,Yaku marii wishlist,International,Sun & Moon,Cosmic Eclipse,sm12-97,Mimikyu,2,Normal | Reverse Holo,Rare | Rare,1 | 0,US$11.59 | US$34.99,1
standard,Yaku marii wishlist,International,Sun & Moon,Sun & Moon Promos,smp-SM229,Venusaur & Snivy GX,1,Holo,Promo,1,US$116.54,1
